1;PORTAL 20 DE JULIO
2;PORTAL DE LA 80
3;PORTAL DE LAS AMERICAS
4;PORTAL DE SUBA
5;PORTAL DE USME
6;PORTAL DEL NORTE
7;PORTAL DEL SUR
8;PORTAL DEL TUNAL
9;PORTAL EL DORADO
