111;6;;Pradera;-74,11968454;4,628608877
112;2;;Prado Veraniego;-74,05269745;4,713848929
113;1;;Profamilia;-74,0697611;4,62147993
114;6;;Puente Aranda;-74,10428717;4,625297047
115;3;;Puentelargo;-74,06688065;4,692774328
116;10;;Quinta Paredes;-74,09252637;4,636561552
117;4;;Quirigua;-74,1083119;4,706417092
118;8;;Quiroga;-74,11494849;4,57666117
119;8;;Restrepo;-74,10145733;4,581784792
120;6;;Ricaurte;-74,09029205;4,612809297
121;3;;Rionegro;-74,06430747;4,681116448
122;10;;Salitre el Greco;-74,10112266;4,649985173
123;11;;San Diego;-74,07177078;4,610333566
124;6;;San Facon Cr 22;-74,08666444;4,609581369
125;3;;San Martin;-74,06682418;4,676935169
126;7;;SAN MATEO;-74,20571942;4,58580302
127;11;;San Victorino;-74,07735056;4,601037593
128;7;;Santa Isabel;-74,10218724;4,601992374
129;8;;Santa Lucia;-74,12469284;4,570905387
130;7;;Sena;-74,1097242;4,597796357
131;7;;Sevillana;-74,14849946;4,595180599
132;5;;Simon Bolivar;-74,07755017;4,657850147
133;8;;Socorro;-74,12529676;4,564120037
134;3;;Suba - Av. Boyaca;-74,07473773;4,721396542
135;3;;Suba - Calle 100;-74,0652907;4,689338929
136;3;;Suba - Calle 95;-74,06292623;4,684045906
137;3;;Suba - Tv. 91;-74,08519782;4,737865754
138;1;;Tercer Milenio;-74,08384632;4,598063997
139;2;;Terminal;-74,04358437;4,768742645
140;7;;TERRERO-HOSPITAL CV;-74,19949821;4,588953794
141;2;;Toberin;-74,04715743;4,746938388
142;6;;Tv 86;-74,15295308;4,635053035
143;5;;Tygua-San Jose;-74,08871847;4,59966701
144;5;;Universidad Nacional;-74,07933506;4,63697281
145;10;;Universidades;-74,06689279;4,60538074
146;7;;Venecia;-74,14163179;4,595545533
147;2;;Virrey;-74,05881662;4,677185687
148;6;;Zona Industrial;-74,09879546;4,620362651
